ISO2,ISO3,ROW_Region,Population_2022
AF,AFG,WA,40578842.0
AS,ASM,WA,48342.0
AQ,ATA,WA,1000.0
AM,ARM,WA,2969200.0
AZ,AZE,WA,10141756.0
BD,BGD,WA,169384897.0
BT,BTN,WA,780914.0
BN,BRN,WA,455370.0
KH,KHM,WA,17201724.0
CK,COK,WA,15342.0
FJ,FJI,WA,919422.0
PF,PYF,WA,280378.0
GE,GEO,WA,3712502.0
GU,GUM,WA,165180.0
HK,HKG,WA,7346100.0
KZ,KAZ,WA,20034609.0
KI,KIR,WA,130469.0
KP,PRK,WA,26328845.0
KG,KGZ,WA,6975219.5
LA,LAO,WA,7559007.0
MO,MAC,WA,677300.0
MY,MYS,WA,34695493.0
MV,MDV,WA,524106.0
MH,MHL,WA,40077.0
FM,FSM,WA,112114.0
MN,MNG,WA,3433748.0
MM,MMR,WA,53756787.0
NR,NRU,WA,11801.0
NP,NPL,WA,29715436.0
NC,NCL,WA,287123.0
NZ,NZL,WA,5117200.0
NU,NIU,WA,1700.0
MP,MNP,WA,46078.0
PK,PAK,WA,243700667.0
PW,PLW,WA,17759.0
PG,PNG,WA,10203169.0
PH,PHL,WA,113964338.0
WS,WSM,WA,215261.0
SG,SGP,WA,5637022.0
SB,SLB,WA,781066.0
LK,LKA,WA,22181000.0
TJ,TJK,WA,10182222.0
TH,THA,WA,71735329.0
TP,TLS,WA,1369295.0
TO,TON,WA,105042.0
TM,TKM,WA,7230193.0
TV,TUV,WA,9992.0
UZ,UZB,WA,34938955.0
VU,VUT,WA,313046.0
VN,VNM,WA,99680655.0
AI,AIA,WL,15872.0
AG,ATG,WL,92840.0
AR,ARG,WL,45407904.0
AW,ABW,WL,107310.0
BS,BHS,WL,397538.0
BB,BRB,WL,282318.0
BZ,BLZ,WL,402733.0
BM,BMU,WL,64749.0
BO,BOL,WL,12077154.0
KY,CYM,WL,71591.0
CL,CHL,WL,19553036.0
CO,COL,WL,51737944.0
CR,CRI,WL,5081765.0
CU,CUB,WL,11059820.0
DM,DMA,WL,66826.0
DO,DOM,WL,11230734.0
EC,ECU,WL,17823897.0
SV,SLV,WL,6280319.0
FK,FLK,WL,3764.0
GL,GRL,WL,56661.0
GD,GRD,WL,116913.0
GP,GLP,WL,395700.0
GT,GTM,WL,17847877.0
GY,GUY,WL,821637.0
HT,HTI,WL,11503606.0
HN,HND,WL,10463872.0
JM,JAM,WL,2839144.0
MQ,MTQ,WL,367507.0
AN,ANT,WL,228000.0
NI,NIC,WL,6730654.0
PA,PAN,WL,4400773.0
PY,PRY,WL,6760464.0
PE,PER,WL,33475438.0
PR,PRI,WL,3220113.0
KN,KNA,WL,46709.0
LC,LCA,WL,178781.0
PM,SPM,WL,5985.0
VC,VCT,WL,102046.0
SR,SUR,WL,623164.0
TT,TTO,WL,1365805.0
TC,TCA,WL,45847.0
UY,URY,WL,3390913.0
VE,VEN,WL,28213017.0
VG,VGB,WL,38319.0
VI,VIR,WL,105413.0
AL,ALB,WE,2777689.0
AD,AND,WE,79705.0
BY,BLR,WE,9228071.0
BA,BIH,WE,3204802.0
FO,FRO,WE,53952.0
GI,GIB,WE,37609.0
IS,ISL,WE,382003.0
IM,IMN,WE,84132.0
LI,LIE,WE,39493.0
MK,MKD,WE,1831712.0
MD,MDA,WE,2528654.0
MC,MCO,WE,38931.0
ME,MNE,WE,617213.0
SM,SMR,WE,33755.0
RS,SRB,WE,6664449.0
UA,UKR,WE,41048766.0
VA,VAT,WE,825.0
DZ,DZA,WF,45477389.0
AO,AGO,WF,35635029.0
BJ,BEN,WF,13759501.0
BW,BWA,WF,2439892.0
BF,BFA,WF,22509038.0
BI,BDI,WF,13321097.0
CM,CMR,WF,27632771.0
CV,CPV,WF,519741.0
CF,CAF,WF,5098039.0
TD,TCD,WF,18455316.0
KM,COM,WF,834188.0
CD,COD,WF,102396968.0
CG,COG,WF,6035104.0
CI,CIV,WF,30395002.0
DJ,DJI,WF,1137096.0
EG,EGY,WF,112618250.0
GQ,GNQ,WF,1803545.0
ER,ERI,WF,3409447.0
ET,ETH,WF,125384287.0
GF,GUF,WF,290691.0
GA,GAB,WF,2430747.0
GM,GMB,WF,2636470.0
GH,GHA,WF,33149152.0
GN,GIN,WF,14055137.0
GW,GNB,WF,2105529.0
KE,KEN,WF,54252461.0
LS,LSO,WF,2286110.0
LR,LBR,WF,5373294.0
LY,LBY,WF,7223805.0
MG,MDG,WF,30437261.0
MW,MWI,WF,20568728.0
ML,MLI,WF,23072640.0
MR,MRT,WF,4875637.0
MU,MUS,WF,1262523.0
YT,MYT,WF,310022.0
MA,MAR,WF,37329064.0
MZ,MOZ,WF,32656246.0
,NAM,WF,2889662.0
NE,NER,WF,25311973.0
NG,NGA,WF,223150896.0
RE,REU,WF,885700.0
RW,RWA,WF,13651030.0
ST,STP,WF,226305.0
SN,SEN,WF,17651103.0
SC,SYC,WF,119878.0
SL,SLE,WF,8276807.0
SO,SOM,WF,17801897.0
SD,SDN,WF,49383346.0
SZ,SWZ,WF,1218917.0
TZ,TZA,WF,64711821.0
TG,TGO,WF,9089738.0
TN,TUN,WF,12119334.0
UG,UGA,WF,47312719.0
EH,ESH,WF,652271.0
ZM,ZMB,WF,20152938.0
ZW,ZWE,WF,16069056.0
BH,BHR,WM,1524693.0
EG,EGY,WM,112618250.0
IR,IRN,WM,89524246.0
IQ,IRQ,WM,44070551.0
IL,ISR,WM,9557500.0
JO,JOR,WM,11256263.0
KW,KWT,WM,4589643.0
LB,LBN,WM,5744489.0
OM,OMN,WM,4730226.0
PS,PSE,WM,5043612.0
QA,QAT,WM,2657333.0
SA,SAU,WM,32175224.0
SY,SYR,WM,22462173.0
AE,ARE,WM,10074977.0
YE,YEM,WM,38222876.0
