country,sector,emissions,output,em_intensity,va_coeff,profit_coeff,standard_vabr,profits_vabr,difference,abs_difference,label
CN,Production of electricity by coal,4774673501.89912,279054.207334,17110.200729510285,0.17109026212614328,0.008750318542402028,816900141.006671,41779914.0775835,-775120226.9290874,775120226.9290874,CN - Production of electricity by c...
US,Production of electricity by coal,992561809.6617184,36970.94405,26847.077757045223,0.4652740251507874,0.014278208321894342,461813228.39225745,14172004.290706454,-447641224.101551,447641224.101551,US - Production of electricity by c...
CN,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,1234838725.0223424,1088786.02875,1134.142698763338,0.38772668141972305,0.057645475036409904,478779920.94147474,71182864.89726767,-407597056.0442071,407597056.0442071,CN - Manufacture of basic iron and ...
NL,Air transport (62),11420700.059105739,13797.0140004,827.7660701637783,0.2397898336484312,-20.53830439686331,2738567.7673215936,-234561814.23918846,-237300382.00651005,237300382.00651005,NL - Air transport (62)
CN,"Manufacture of cement, lime and plaster",1054704373.4279891,124234.974469,8489.593030754528,0.25386503431277974,0.0348953560473565,267752561.95013532,36804284.63547373,-230948277.3146616,230948277.3146616,"CN - Manufacture of cement, lime an..."
WF,Raw milk,320304225.8957357,16073.3132902,19927.70377287595,0.7178974856949311,0.01975526865500728,229945598.42800987,6327696.033904399,-223617902.39410546,223617902.39410546,WF - Raw milk
WF,Cattle farming,490941247.4463282,28358.0324149,17312.246500867095,0.4392525090335487,0.000349806688408956,215647174.72885993,171734.5319725619,-215475440.19688737,215475440.19688737,WF - Cattle farming
US,Production of electricity by gas,628197477.4610811,57238.1310565,10975.157047685305,0.3581876960296094,0.01789231006545417,225012607.10339716,11239904.049069822,-213772703.05432734,213772703.05432734,US - Production of electricity by g...
US,Air transport (62),281851250.9978043,246424.034587,1143.7652640911401,0.7232749846697647,0.0004873559210459239,203855959.2445909,137361.8760279808,-203718597.36856294,203718597.36856294,US - Air transport (62)
WM,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",589583062.43545,490287.645846,1202.5248187074221,0.9034001743736036,0.6070006372615763,532629441.41190875,357877294.61694986,-174752146.7949589,174752146.7949589,WM - Extraction of crude petroleum ...
JP,Quarrying of sand and clay,5905048.221055346,3366.78058567,1753.915371316133,0.714060748040232,-28.641444407851193,4216563.149940422,-169129110.34903726,-173345673.4989777,173345673.4989777,JP - Quarrying of sand and clay
US,Education (80),164710238.46259046,1425994.69114,115.5055060765438,0.7241656889982676,0.002930762451036147,119277503.32133077,482726.5821873699,-118794776.7391434,118794776.7391434,US - Education (80)
IN,Cultivation of paddy rice,368863033.4091921,100703.551274,3662.8602342490226,0.3124463766032331,0.0,115249918.25157939,0.0,-115249918.25157939,115249918.25157939,IN - Cultivation of paddy rice
BR,Cattle farming,358965898.32259274,15273.366516,23502.735820982816,0.6686909093004019,0.36542873179420793,240037232.95717013,131176452.98139365,-108860779.97577648,108860779.97577648,BR - Cattle farming
CN,Cultivation of paddy rice,275150536.55076087,169230.372052,1625.8933500791125,0.38825322202726337,2.032501748068662e-14,106828082.3583632,5.592439465214517e-06,-106828082.35835761,106828082.35835761,CN - Cultivation of paddy rice
CN,Mining of coal and lignite; extraction of peat (10),808889189.7530632,464640.043527,1740.8942707841734,0.1025668363082673,0.024462443609080613,82965205.1169294,19787406.190329216,-63177798.92660018,,CN - Mining of coal and lignite; ex...
WA,Production of electricity by coal,498552156.1124084,14239.6958659,35011.43288504485,0.08613360662049363,0.008417413175658743,42942095.29438511,4196519.487613661,-38745575.80677145,,WA - Production of electricity by c...
JP,Production of electricity by coal,229782016.7175966,31251.7860855,7352.6042988054805,0.12378398630333862,0.0014229556377237862,28443334.0101245,326969.61613584537,-28116364.393988654,,JP - Production of electricity by c...
CN,Chemicals nec,328454304.5852753,533570.501279,615.578079743822,0.1453278154341655,0.06389052464273047,47733546.55532607,20985117.841116432,-26748428.714209635,,CN - Chemicals nec
WM,Production of electricity by petroleum and other oil derivatives,289810184.7450097,18535.8700214,15635.10018199408,0.11021479269012481,0.022879499885539698,31941369.431158017,6630712.088701689,-25310657.34245633,,WM - Production of electricity by p...
US,Cattle farming,223491928.96320048,52009.3496009,4297.149083351218,0.1537948987939927,0.06528446603553073,34371918.59616962,14590551.245613309,-19781367.350556314,,US - Cattle farming
CN,Re-processing of secondary steel into new steel,258615180.06271762,158431.897307,1632.3428833373644,0.08246218000739358,0.012240948097352067,21325971.530976325,3165694.9963350855,-18160276.53464124,,CN - Re-processing of secondary ste...
JP,Production of electricity by gas,168187686.48616228,40686.9254965,4133.7035038597405,0.10875224440742598,0.0022990708251633993,18290788.387062654,386675.4031520642,-17904112.98391059,,JP - Production of electricity by g...
WM,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",179127505.1967934,12366.1714249,14485.284009253652,0.09423668602850731,0.014979910158207918,16880382.466300033,2683313.934711887,-14197068.531588146,,"WM - Manufacture of medical, precis..."
WF,Landfill of waste: Food,188923320.01121578,1.00541633861e-05,18790555987224.61,0.07935642867466769,0.01382090956678809,14992279.969451463,2611092.1209323797,-12381187.848519083,,WF - Landfill of waste: Food
WA,Cattle farming,193589565.88297996,16357.4528592,11834.945669679766,0.10836490675735268,0.04581689844134165,20978315.256105505,8869673.47936391,-12108641.776741594,,WA - Cattle farming
IN,Re-processing of secondary steel into new steel,376331966.93550813,75305.2002323,4997.4233621928715,0.04316078429028473,0.019521229328721235,16242782.84644203,7346462.630276792,-8896320.216165239,,IN - Re-processing of secondary ste...
KR,Production of electricity by coal,197230599.11747342,13727.3164552,14367.746220548528,0.011177252217052102,0.0006298107079009594,2204496.1512562945,124217.94324990627,-2080278.2080063883,,KR - Production of electricity by c...
WA,Cultivation of paddy rice,354682948.9284769,13658.2851066,25968.33688565235,0.0,0.0,0.0,0.0,0.0,,WA - Cultivation of paddy rice
IN,Production of electricity by coal,952990680.322414,11871.4968933,80275.52792102065,0.0,0.0,0.0,0.0,0.0,,IN - Production of electricity by c...
